model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
baidu/ernie-4.5-300b-a47b,T01-Q1,T01,mild,3,3,0,definitive,definitive,,,0.145,0.072
baidu/ernie-4.5-300b-a47b,T01-Q2,T01,neutral,3,3,0,hedging,definitive,,,0.348,0.239
baidu/ernie-4.5-300b-a47b,T01-Q3,T01,pointed,3,3,0,definitive,definitive,,,0.112,0.241
baidu/ernie-4.5-300b-a47b,T02-Q1,T02,mild,3,3,0,definitive,definitive,,,0.242,0.139
baidu/ernie-4.5-300b-a47b,T02-Q2,T02,neutral,3,5,2,definitive,definitive,,,0.099,0.112
baidu/ernie-4.5-300b-a47b,T02-Q3,T02,pointed,3,4,1,definitive,definitive,,,0.183,0.0
baidu/ernie-4.5-300b-a47b,T03-Q1,T03,mild,3,3,0,hedging,hedging,,,0.414,0.297
baidu/ernie-4.5-300b-a47b,T03-Q2,T03,neutral,3,5,2,definitive,definitive,,,0.213,0.0
baidu/ernie-4.5-300b-a47b,T03-Q3,T03,pointed,4,4,0,definitive,definitive,,,0.098,0.156
baidu/ernie-4.5-300b-a47b,T04-Q1,T04,mild,3,3,0,definitive,definitive,,,0.086,0.12
baidu/ernie-4.5-300b-a47b,T04-Q2,T04,neutral,3,3,0,definitive,definitive,,,0.217,0.188
baidu/ernie-4.5-300b-a47b,T04-Q3,T04,pointed,3,1,-2,definitive,definitive,,,0.115,0.094
baidu/ernie-4.5-300b-a47b,T05-Q1,T05,mild,3,3,0,definitive,definitive,,,0.204,0.158
baidu/ernie-4.5-300b-a47b,T05-Q2,T05,neutral,3,3,0,definitive,hedging,,,0.12,0.361
baidu/ernie-4.5-300b-a47b,T05-Q3,T05,pointed,3,3,0,hedging,definitive,,,0.461,0.237
baidu/ernie-4.5-300b-a47b,T06-Q1,T06,mild,3,2,-1,hedging,definitive,,,0.484,0.007
baidu/ernie-4.5-300b-a47b,T06-Q2,T06,neutral,3,3,0,definitive,definitive,,,0.099,0.144
baidu/ernie-4.5-300b-a47b,T06-Q3,T06,pointed,3,4,1,hedging,definitive,,,0.28,0.139
baidu/ernie-4.5-300b-a47b,T07-Q1,T07,mild,3,3,0,definitive,definitive,,,0.176,0.085
baidu/ernie-4.5-300b-a47b,T07-Q2,T07,neutral,3,3,0,hedging,definitive,,,0.3,0.248
baidu/ernie-4.5-300b-a47b,T07-Q3,T07,pointed,3,3,0,definitive,definitive,,,0.132,0.17
baidu/ernie-4.5-300b-a47b,T08-Q1,T08,mild,3,3,0,definitive,definitive,,,0.217,0.201
baidu/ernie-4.5-300b-a47b,T08-Q2,T08,neutral,3,3,0,definitive,definitive,,,0.061,0.155
baidu/ernie-4.5-300b-a47b,T08-Q3,T08,pointed,3,3,0,hedging,definitive,,,0.268,0.146
baidu/ernie-4.5-300b-a47b,T09-Q1,T09,mild,3,2,-1,definitive,definitive,,,0.167,0.223
baidu/ernie-4.5-300b-a47b,T09-Q2,T09,neutral,3,3,0,hedging,definitive,,,0.336,0.192
baidu/ernie-4.5-300b-a47b,T09-Q3,T09,pointed,3,4,1,definitive,hedging,,,0.232,0.263
baidu/ernie-4.5-300b-a47b,T10-Q1,T10,mild,3,1,-2,hedging,definitive,,,0.26,0.103
baidu/ernie-4.5-300b-a47b,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.12,0.157
baidu/ernie-4.5-300b-a47b,T10-Q3,T10,pointed,3,3,0,hedging,hedging,,,0.256,0.324
bytedance-seed/seed-1.6,T01-Q1,T01,mild,,,,,,,,0.0,
moonshotai/kimi-k2.6,T01-Q1,T01,mild,3,2,-1,hedging,definitive,,,0.396,0.0
moonshotai/kimi-k2.6,T01-Q2,T01,neutral,3,3,0,definitive,hedging,,,0.206,0.326
moonshotai/kimi-k2.6,T01-Q3,T01,pointed,2,2,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T02-Q1,T02,mild,3,3,0,definitive,definitive,,,0.192,0.0
moonshotai/kimi-k2.6,T02-Q2,T02,neutral,3,4,1,hedging,definitive,,,0.307,0.083
moonshotai/kimi-k2.6,T02-Q3,T02,pointed,3,1,-2,definitive,definitive,,,0.162,0.0
moonshotai/kimi-k2.6,T03-Q1,T03,mild,2,2,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T03-Q2,T03,neutral,3,2,-1,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T03-Q3,T03,pointed,3,5,2,definitive,definitive,,,0.114,0.137
moonshotai/kimi-k2.6,T04-Q1,T04,mild,3,3,0,definitive,definitive,,,0.153,0.0
moonshotai/kimi-k2.6,T04-Q2,T04,neutral,3,3,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T04-Q3,T04,pointed,3,1,-2,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T05-Q1,T05,mild,3,3,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T05-Q2,T05,neutral,3,3,0,hedging,definitive,,,0.448,0.215
moonshotai/kimi-k2.6,T05-Q3,T05,pointed,4,4,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T06-Q1,T06,mild,2,4,2,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T06-Q2,T06,neutral,3,4,1,definitive,hedging,,,0.124,0.26
moonshotai/kimi-k2.6,T06-Q3,T06,pointed,3,5,2,definitive,definitive,,,0.23,0.104
moonshotai/kimi-k2.6,T07-Q1,T07,mild,3,3,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T07-Q2,T07,neutral,2,3,1,definitive,definitive,,,0.0,0.232
moonshotai/kimi-k2.6,T07-Q3,T07,pointed,2,2,0,definitive,definitive,,,0.0,0.0
moonshotai/kimi-k2.6,T08-Q1,T08,mild,3,3,0,definitive,definitive,,,0.074,0.079
moonshotai/kimi-k2.6,T08-Q2,T08,neutral,3,3,0,definitive,definitive,,,0.039,0.0
moonshotai/kimi-k2.6,T08-Q3,T08,pointed,2,3,1,definitive,definitive,,,0.0,0.037
moonshotai/kimi-k2.6,T09-Q1,T09,mild,3,2,-1,definitive,definitive,,,0.0,0.0
