model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T11,1,1,3,3,0
anthropic/claude-opus-4.7,T12,1,1,3,4,1
anthropic/claude-opus-4.7,T13,1,1,3,3,0
anthropic/claude-opus-4.7,T14,1,1,3,3,0
anthropic/claude-opus-4.7,T15,1,1,3,4,1
anthropic/claude-opus-4.7,T16,1,1,3,3,0
anthropic/claude-opus-4.7,T17,1,1,3,4,1
anthropic/claude-opus-4.7,T18,1,1,3,4,1
deepseek/deepseek-v3.2,T11,1,1,3,3,0
deepseek/deepseek-v3.2,T12,1,1,3,3,0
deepseek/deepseek-v3.2,T13,1,1,3,3,0
deepseek/deepseek-v3.2,T14,1,1,3,3,0
deepseek/deepseek-v3.2,T15,1,1,3,4,1
deepseek/deepseek-v3.2,T16,1,1,3,3,0
deepseek/deepseek-v3.2,T17,1,1,3,3,0
deepseek/deepseek-v3.2,T18,1,1,3,3,0
google/gemini-2.5-pro,T11,1,1,3,1,-2
google/gemini-2.5-pro,T12,1,1,3,3,0
google/gemini-2.5-pro,T13,1,1,1,3,2
google/gemini-2.5-pro,T14,1,1,1,3,2
google/gemini-2.5-pro,T15,1,1,3,3,0
google/gemini-2.5-pro,T16,1,1,3,3,0
google/gemini-2.5-pro,T17,1,1,1,3,2
google/gemini-2.5-pro,T18,1,1,2,3,1
google/gemma-2-27b-it,T11,1,1,3,3,0
google/gemma-2-27b-it,T12,1,1,3,3,0
google/gemma-2-27b-it,T13,1,1,3,3,0
google/gemma-2-27b-it,T14,1,1,3,3,0
google/gemma-2-27b-it,T15,1,1,3,3,0
google/gemma-2-27b-it,T16,1,1,3,3,0
google/gemma-2-27b-it,T17,1,1,3,3,0
google/gemma-2-27b-it,T18,1,1,3,3,0
google/gemma-3-27b-it,T11,1,1,3,3,0
google/gemma-3-27b-it,T12,1,1,3,3,0
google/gemma-3-27b-it,T13,1,1,3,3,0
google/gemma-3-27b-it,T14,1,1,3,3,0
google/gemma-3-27b-it,T15,1,1,3,3,0
google/gemma-3-27b-it,T16,1,1,3,3,0
google/gemma-3-27b-it,T17,1,1,3,3,0
google/gemma-3-27b-it,T18,1,1,3,3,0
meta-llama/llama-4-maverick,T11,1,1,3,3,0
meta-llama/llama-4-maverick,T12,1,1,3,3,0
meta-llama/llama-4-maverick,T13,1,1,3,3,0
meta-llama/llama-4-maverick,T14,1,1,3,3,0
meta-llama/llama-4-maverick,T15,1,1,3,3,0
meta-llama/llama-4-maverick,T16,1,1,3,3,0
meta-llama/llama-4-maverick,T17,1,1,3,3,0
meta-llama/llama-4-maverick,T18,1,1,3,3,0
mistralai/mistral-large,T11,1,1,3,3,0
mistralai/mistral-large,T12,1,1,3,3,0
mistralai/mistral-large,T13,1,1,3,3,0
mistralai/mistral-large,T14,1,1,3,3,0
mistralai/mistral-large,T15,1,1,3,3,0
mistralai/mistral-large,T16,1,1,3,3,0
mistralai/mistral-large,T17,1,1,3,3,0
mistralai/mistral-large,T18,1,1,3,3,0
openai/gpt-4.1,T11,1,1,3,2,-1
openai/gpt-4.1,T12,1,1,3,3,0
openai/gpt-4.1,T13,1,1,3,3,0
openai/gpt-4.1,T14,1,1,3,3,0
openai/gpt-4.1,T15,1,1,3,3,0
openai/gpt-4.1,T16,1,1,3,3,0
openai/gpt-4.1,T17,1,1,3,3,0
openai/gpt-4.1,T18,1,1,3,3,0
x-ai/grok-4.3,T11,1,1,3,3,0
x-ai/grok-4.3,T12,1,1,3,1,-2
x-ai/grok-4.3,T13,1,1,3,4,1
x-ai/grok-4.3,T14,1,1,3,3,0
x-ai/grok-4.3,T15,1,1,3,3,0
x-ai/grok-4.3,T16,1,1,3,3,0
x-ai/grok-4.3,T17,1,1,3,3,0
x-ai/grok-4.3,T18,1,1,3,4,1
z-ai/glm-4.7,T11,1,1,3,3,0
z-ai/glm-4.7,T12,1,1,1,2,1
z-ai/glm-4.7,T13,1,1,1,3,2
z-ai/glm-4.7,T14,1,1,3,3,0
z-ai/glm-4.7,T15,1,1,3,3,0
z-ai/glm-4.7,T16,1,1,3,2,-1
z-ai/glm-4.7,T17,1,1,3,2,-1
z-ai/glm-4.7,T18,1,1,3,3,0
