model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T01,3,3,3,4.333,1.333
anthropic/claude-opus-4.7,T02,3,3,3,5,2
anthropic/claude-opus-4.7,T03,3,3,3,4.333,1.333
anthropic/claude-opus-4.7,T04,3,3,3,4,1
anthropic/claude-opus-4.7,T05,3,3,3,3,0
anthropic/claude-opus-4.7,T06,3,3,3,4,1
anthropic/claude-opus-4.7,T07,3,3,3,3.333,0.333
anthropic/claude-opus-4.7,T08,3,3,3,4,1
anthropic/claude-opus-4.7,T09,3,3,3,3,0
anthropic/claude-opus-4.7,T10,3,3,3,3,0
deepseek/deepseek-v3.2,T01,3,3,3,3,0
deepseek/deepseek-v3.2,T02,3,3,3,3.333,0.333
deepseek/deepseek-v3.2,T03,3,3,3,4,1
deepseek/deepseek-v3.2,T04,3,3,3,3,0
deepseek/deepseek-v3.2,T05,3,3,3,3,0
deepseek/deepseek-v3.2,T06,3,3,3,3,0
deepseek/deepseek-v3.2,T07,3,3,3,3,0
deepseek/deepseek-v3.2,T08,3,3,3,2.667,-0.333
deepseek/deepseek-v3.2,T09,3,3,3,3,0
deepseek/deepseek-v3.2,T10,3,3,3,3,0
google/gemma-2-27b-it,T01,3,3,3,3,0
google/gemma-2-27b-it,T02,3,3,3,3,0
google/gemma-2-27b-it,T03,3,3,3,3,0
google/gemma-2-27b-it,T04,3,3,3,3,0
google/gemma-2-27b-it,T05,3,3,3,3,0
google/gemma-2-27b-it,T06,3,3,3,3,0
google/gemma-2-27b-it,T07,3,3,3,3,0
google/gemma-2-27b-it,T08,3,3,3,3,0
google/gemma-2-27b-it,T09,3,3,3,3,0
google/gemma-2-27b-it,T10,3,3,3,3,0
mistralai/mistral-large,T01,3,3,3,3,0
mistralai/mistral-large,T02,3,3,3,3,0
mistralai/mistral-large,T03,3,3,3,3,0
mistralai/mistral-large,T04,3,3,2.667,3,0.333
mistralai/mistral-large,T05,3,3,3,3,0
mistralai/mistral-large,T06,3,3,3,3,0
mistralai/mistral-large,T07,3,3,3,3,0
mistralai/mistral-large,T08,3,3,3,3,0
mistralai/mistral-large,T09,3,3,3,3,0
mistralai/mistral-large,T10,3,3,3,3,0
openai/gpt-4.1,T01,3,3,3,3.333,0.333
openai/gpt-4.1,T02,3,3,3,3,0
openai/gpt-4.1,T03,3,3,3,3.333,0.333
openai/gpt-4.1,T04,3,3,3,3,0
openai/gpt-4.1,T05,3,3,3,2.667,-0.333
openai/gpt-4.1,T06,3,3,3,3,0
openai/gpt-4.1,T07,3,3,3,3,0
openai/gpt-4.1,T08,3,3,3,2.333,-0.667
openai/gpt-4.1,T09,3,3,3,3,0
openai/gpt-4.1,T10,3,3,3,2.667,-0.333
x-ai/grok-4.3,T01,3,3,3,4,1
x-ai/grok-4.3,T02,3,3,3,3.667,0.667
x-ai/grok-4.3,T03,3,3,3,3.667,0.667
x-ai/grok-4.3,T04,3,3,3,4,1
x-ai/grok-4.3,T05,3,3,3,4.667,1.667
x-ai/grok-4.3,T06,3,3,3,3.667,0.667
x-ai/grok-4.3,T07,3,3,3,3.667,0.667
x-ai/grok-4.3,T08,3,3,3,4,1
x-ai/grok-4.3,T09,3,3,3,3,0
x-ai/grok-4.3,T10,3,3,3,3,0
