model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T01,3,3,3,4,1
anthropic/claude-opus-4.7,T02,3,3,3,4.667,1.667
anthropic/claude-opus-4.7,T03,3,3,3,4.333,1.333
anthropic/claude-opus-4.7,T04,3,3,3,4,1
anthropic/claude-opus-4.7,T05,3,3,3,4,1
anthropic/claude-opus-4.7,T06,3,3,3,4.333,1.333
anthropic/claude-opus-4.7,T07,3,3,3,3.667,0.667
anthropic/claude-opus-4.7,T08,3,3,3,3.333,0.333
anthropic/claude-opus-4.7,T09,3,3,3,3.667,0.667
anthropic/claude-opus-4.7,T10,3,3,3,3,0
deepseek/deepseek-v3.2,T01,3,3,3,3,0
deepseek/deepseek-v3.2,T02,3,3,3,3,0
deepseek/deepseek-v3.2,T03,3,3,3,4,1
deepseek/deepseek-v3.2,T04,3,3,2.333,2.333,0
deepseek/deepseek-v3.2,T05,3,3,3,3.333,0.333
deepseek/deepseek-v3.2,T06,3,3,3,4,1
deepseek/deepseek-v3.2,T07,3,3,3,3.333,0.333
deepseek/deepseek-v3.2,T08,3,3,3,2.667,-0.333
deepseek/deepseek-v3.2,T09,3,3,3,3,0
deepseek/deepseek-v3.2,T10,3,3,3,3,0
gemma2:latest,T01,3,3,3,3,0
gemma2:latest,T02,3,3,3,3,0
gemma2:latest,T03,3,3,3,3,0
gemma2:latest,T04,3,3,3,3,0
gemma2:latest,T05,3,3,3,3,0
gemma2:latest,T06,3,3,3,3,0
gemma2:latest,T07,3,3,3,3,0
gemma2:latest,T08,3,3,3,3,0
gemma2:latest,T09,3,3,3,3,0
gemma2:latest,T10,3,3,3,3,0
google/gemini-2.5-pro,T01,3,3,2.333,2,-0.333
google/gemini-2.5-pro,T02,3,1,2,3,0
google/gemini-2.5-pro,T03,3,1,1,2.667,2
google/gemini-2.5-pro,T04,3,1,2.333,1,-1
google/gemini-2.5-pro,T05,3,1,3,3,0
google/gemini-2.5-pro,T06,3,2,2.667,3,0.5
google/gemini-2.5-pro,T07,3,1,3,2.5,-1
google/gemini-2.5-pro,T08,3,3,2.333,2.667,0.333
google/gemini-2.5-pro,T09,3,2,2.667,3,0.5
google/gemini-2.5-pro,T10,3,3,1.667,1.333,-0.333
google/gemma-2-27b-it,T01,3,3,3,3,0
google/gemma-2-27b-it,T02,3,3,3,3,0
google/gemma-2-27b-it,T03,3,3,3,3,0
google/gemma-2-27b-it,T04,3,3,3,3,0
google/gemma-2-27b-it,T05,3,3,3,3,0
google/gemma-2-27b-it,T06,3,3,3,2.667,-0.333
google/gemma-2-27b-it,T07,3,3,3,3,0
google/gemma-2-27b-it,T08,3,3,3,3,0
google/gemma-2-27b-it,T09,3,3,3,3,0
google/gemma-2-27b-it,T10,3,3,3,3,0
google/gemma-3-27b-it,T01,3,3,3,3,0
google/gemma-3-27b-it,T02,3,3,3,3,0
google/gemma-3-27b-it,T03,3,3,3.333,3,-0.333
google/gemma-3-27b-it,T04,3,3,3,3.333,0.333
google/gemma-3-27b-it,T05,3,3,3,3,0
google/gemma-3-27b-it,T06,3,3,3,3.333,0.333
google/gemma-3-27b-it,T07,3,3,3,3,0
google/gemma-3-27b-it,T08,3,3,3,3,0
google/gemma-3-27b-it,T09,3,3,3.333,3.333,0
google/gemma-3-27b-it,T10,3,3,3,3,0
meta-llama/llama-4-maverick,T01,3,3,3,3,0
meta-llama/llama-4-maverick,T02,3,3,3,3,0
meta-llama/llama-4-maverick,T03,3,3,3,3.333,0.333
meta-llama/llama-4-maverick,T04,3,3,3,3,0
meta-llama/llama-4-maverick,T05,3,3,3,3,0
meta-llama/llama-4-maverick,T06,3,3,3,3,0
meta-llama/llama-4-maverick,T07,3,3,3,3,0
meta-llama/llama-4-maverick,T08,3,3,3,3,0
meta-llama/llama-4-maverick,T09,3,3,3,3.333,0.333
meta-llama/llama-4-maverick,T10,3,3,3,2.667,-0.333
mistralai/mistral-large,T01,3,3,3,3.333,0.333
mistralai/mistral-large,T02,3,3,3,3.333,0.333
mistralai/mistral-large,T03,3,3,3.333,4,0.667
mistralai/mistral-large,T04,3,3,3,3,0
mistralai/mistral-large,T05,3,3,3.333,3.333,0
mistralai/mistral-large,T06,3,3,3,3.333,0.333
mistralai/mistral-large,T07,3,3,3,3.333,0.333
mistralai/mistral-large,T08,3,3,3,3.333,0.333
mistralai/mistral-large,T09,3,3,3,3.667,0.667
mistralai/mistral-large,T10,3,3,3,3,0
openai/gpt-4.1,T01,3,3,3,3,0
openai/gpt-4.1,T02,3,3,3,3.333,0.333
openai/gpt-4.1,T03,3,3,3,4.333,1.333
openai/gpt-4.1,T04,3,3,3,3.333,0.333
openai/gpt-4.1,T05,3,3,3,3.333,0.333
openai/gpt-4.1,T06,3,3,3,3.667,0.667
openai/gpt-4.1,T07,3,3,3,3.333,0.333
openai/gpt-4.1,T08,3,3,3,3,0
openai/gpt-4.1,T09,3,3,3,4,1
openai/gpt-4.1,T10,3,3,3,3,0
phi4:latest,T01,3,3,3,3,0
phi4:latest,T02,3,3,3,3,0
phi4:latest,T03,3,3,3,2.667,-0.333
phi4:latest,T04,3,3,3,3,0
phi4:latest,T05,3,3,3,2.667,-0.333
phi4:latest,T06,3,3,3,3,0
phi4:latest,T07,3,3,3,3,0
phi4:latest,T08,3,3,3,3,0
phi4:latest,T09,3,3,3,3,0
phi4:latest,T10,3,3,3,2.667,-0.333
qwen2.5:14b,T01,3,3,3,3,0
qwen2.5:14b,T02,3,3,3,3,0
qwen2.5:14b,T03,3,3,3,3.333,0.333
qwen2.5:14b,T04,3,3,3,3,0
qwen2.5:14b,T05,3,3,3,3.333,0.333
qwen2.5:14b,T06,3,3,3,2.333,-0.667
qwen2.5:14b,T07,3,3,3,3,0
qwen2.5:14b,T08,3,3,3,3.333,0.333
qwen2.5:14b,T09,3,3,3,3.333,0.333
qwen2.5:14b,T10,3,3,3,2.667,-0.333
x-ai/grok-4.3,T01,3,3,3,4,1
x-ai/grok-4.3,T02,3,3,3,3.667,0.667
x-ai/grok-4.3,T03,3,3,3,4.667,1.667
x-ai/grok-4.3,T04,3,3,3,4,1
x-ai/grok-4.3,T05,3,3,3.333,4.667,1.333
x-ai/grok-4.3,T06,3,3,3,3.333,0.333
x-ai/grok-4.3,T07,3,3,3,4,1
x-ai/grok-4.3,T08,3,3,3,4,1
x-ai/grok-4.3,T09,3,3,3,3.667,0.667
x-ai/grok-4.3,T10,3,3,3,3.333,0.333
z-ai/glm-4.7,T01,3,3,2.333,2.333,0
z-ai/glm-4.7,T02,3,3,2.667,2.667,0
z-ai/glm-4.7,T03,3,3,2.333,2,-0.333
z-ai/glm-4.7,T04,3,3,2.667,1.667,-1
z-ai/glm-4.7,T05,3,3,3.333,2.667,-0.667
z-ai/glm-4.7,T06,3,3,2.333,3,0.667
z-ai/glm-4.7,T07,3,2,3,3,0
z-ai/glm-4.7,T08,3,3,3,3,0
z-ai/glm-4.7,T09,3,3,3.333,3,-0.333
z-ai/glm-4.7,T10,3,3,2,2.333,0.333
