model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T01,1,1,3,4,1
anthropic/claude-opus-4.7,T02,1,1,3,5,2
anthropic/claude-opus-4.7,T03,1,1,3,4,1
anthropic/claude-opus-4.7,T04,1,1,3,3,0
anthropic/claude-opus-4.7,T05,1,1,3,3,0
anthropic/claude-opus-4.7,T06,1,1,3,3,0
anthropic/claude-opus-4.7,T07,1,1,3,4,1
anthropic/claude-opus-4.7,T08,1,1,3,4,1
anthropic/claude-opus-4.7,T09,1,1,3,3,0
anthropic/claude-opus-4.7,T10,1,1,3,3,0
deepseek/deepseek-v3.2,T01,1,1,3,3,0
deepseek/deepseek-v3.2,T02,1,1,3,4,1
deepseek/deepseek-v3.2,T03,1,1,3,4,1
deepseek/deepseek-v3.2,T04,1,1,3,3,0
deepseek/deepseek-v3.2,T05,1,1,3,3,0
deepseek/deepseek-v3.2,T06,1,1,3,3,0
deepseek/deepseek-v3.2,T07,1,1,3,3,0
deepseek/deepseek-v3.2,T08,1,1,3,3,0
deepseek/deepseek-v3.2,T09,1,1,3,3,0
deepseek/deepseek-v3.2,T10,1,1,3,3,0
gemma2:latest,T01,1,1,3,3,0
gemma2:latest,T02,1,1,3,3,0
gemma2:latest,T03,1,1,3,3,0
gemma2:latest,T04,1,1,3,3,0
gemma2:latest,T05,1,1,3,3,0
gemma2:latest,T06,1,1,3,3,0
gemma2:latest,T07,1,1,3,3,0
gemma2:latest,T08,1,1,3,3,0
gemma2:latest,T09,1,1,3,3,0
gemma2:latest,T10,1,1,3,3,0
google/gemini-2.5-pro,T01,1,0,,,
google/gemini-2.5-pro,T02,1,0,,,
google/gemini-2.5-pro,T03,1,0,,,
google/gemini-2.5-pro,T04,1,0,,,
google/gemini-2.5-pro,T05,1,0,,3,
google/gemini-2.5-pro,T06,1,0,,,
google/gemini-2.5-pro,T07,1,0,,,
google/gemini-2.5-pro,T08,1,0,,,
google/gemini-2.5-pro,T09,1,1,3,3,0
google/gemini-2.5-pro,T10,1,0,,,
google/gemma-2-27b-it,T01,1,1,3,3,0
google/gemma-2-27b-it,T02,1,1,3,3,0
google/gemma-2-27b-it,T03,1,1,3,3,0
google/gemma-2-27b-it,T04,1,1,3,3,0
google/gemma-2-27b-it,T05,1,1,3,3,0
google/gemma-2-27b-it,T06,1,1,3,3,0
google/gemma-2-27b-it,T07,1,1,3,3,0
google/gemma-2-27b-it,T08,1,1,3,3,0
google/gemma-2-27b-it,T09,1,1,3,3,0
google/gemma-2-27b-it,T10,1,1,3,3,0
google/gemma-3-27b-it,T01,1,1,3,3,0
google/gemma-3-27b-it,T02,1,1,3,3,0
google/gemma-3-27b-it,T03,1,1,3,3,0
google/gemma-3-27b-it,T04,1,1,3,3,0
google/gemma-3-27b-it,T05,1,1,3,3,0
google/gemma-3-27b-it,T06,1,1,3,3,0
google/gemma-3-27b-it,T07,1,1,3,3,0
google/gemma-3-27b-it,T08,1,1,3,3,0
google/gemma-3-27b-it,T09,1,1,3,3,0
google/gemma-3-27b-it,T10,1,1,3,3,0
meta-llama/llama-4-maverick,T01,1,1,3,3,0
meta-llama/llama-4-maverick,T02,1,1,3,3,0
meta-llama/llama-4-maverick,T03,1,1,3,3,0
meta-llama/llama-4-maverick,T04,1,1,3,3,0
meta-llama/llama-4-maverick,T05,1,1,3,3,0
meta-llama/llama-4-maverick,T06,1,1,3,3,0
meta-llama/llama-4-maverick,T07,1,1,3,3,0
meta-llama/llama-4-maverick,T08,1,1,3,3,0
meta-llama/llama-4-maverick,T09,1,1,3,3,0
meta-llama/llama-4-maverick,T10,1,1,3,3,0
mistralai/mistral-large,T01,1,1,3,3,0
mistralai/mistral-large,T02,1,1,3,3,0
