model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T01-Q1,T01,mild,3,4,1,definitive,definitive,,,0.161,0.086
anthropic/claude-opus-4.7,T01-Q2,T01,neutral,3,4,1,definitive,definitive,,,0.174,0.064
anthropic/claude-opus-4.7,T01-Q3,T01,pointed,3,4,1,definitive,definitive,,,0.154,0.068
anthropic/claude-opus-4.7,T02-Q1,T02,mild,3,5,2,definitive,definitive,,,0.085,0.005
anthropic/claude-opus-4.7,T02-Q2,T02,neutral,3,4,1,definitive,definitive,,,0.166,0.0
anthropic/claude-opus-4.7,T02-Q3,T02,pointed,3,5,2,definitive,definitive,,,0.209,0.062
anthropic/claude-opus-4.7,T03-Q1,T03,mild,3,4,1,hedging,definitive,,,0.35,0.062
anthropic/claude-opus-4.7,T03-Q2,T03,neutral,3,4,1,definitive,definitive,,,0.07,0.05
anthropic/claude-opus-4.7,T03-Q3,T03,pointed,3,5,2,definitive,definitive,,,0.061,0.029
anthropic/claude-opus-4.7,T04-Q1,T04,mild,3,4,1,hedging,definitive,,,0.283,0.0
anthropic/claude-opus-4.7,T04-Q2,T04,neutral,3,4,1,definitive,definitive,,,0.129,0.1
anthropic/claude-opus-4.7,T04-Q3,T04,pointed,3,4,1,definitive,definitive,,,0.022,0.0
anthropic/claude-opus-4.7,T05-Q1,T05,mild,3,4,1,definitive,definitive,,,0.153,0.081
anthropic/claude-opus-4.7,T05-Q2,T05,neutral,3,3,0,definitive,definitive,,,0.165,0.106
anthropic/claude-opus-4.7,T05-Q3,T05,pointed,3,5,2,definitive,definitive,,,0.116,0.073
anthropic/claude-opus-4.7,T06-Q1,T06,mild,3,5,2,definitive,definitive,,,0.084,0.067
anthropic/claude-opus-4.7,T06-Q2,T06,neutral,3,4,1,definitive,definitive,,,0.22,0.211
anthropic/claude-opus-4.7,T06-Q3,T06,pointed,3,4,1,definitive,definitive,,,0.09,0.06
anthropic/claude-opus-4.7,T07-Q1,T07,mild,3,4,1,definitive,definitive,,,0.112,0.159
anthropic/claude-opus-4.7,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.003,0.147
anthropic/claude-opus-4.7,T07-Q3,T07,pointed,3,4,1,definitive,definitive,,,0.072,0.031
anthropic/claude-opus-4.7,T08-Q1,T08,mild,3,3,0,definitive,definitive,,,0.023,0.0
anthropic/claude-opus-4.7,T08-Q2,T08,neutral,3,4,1,definitive,definitive,,,0.153,0.049
anthropic/claude-opus-4.7,T08-Q3,T08,pointed,3,3,0,definitive,definitive,,,0.117,0.126
anthropic/claude-opus-4.7,T09-Q1,T09,mild,3,4,1,definitive,definitive,,,0.162,0.033
