model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T01-Q5,T01,para1,3,4,1,definitive,definitive,,,0.154,0.162
anthropic/claude-opus-4.7,T01-Q6,T01,para2,3,5,2,definitive,definitive,,,0.113,0.044
anthropic/claude-opus-4.7,T01-Q7,T01,para3,3,4,1,definitive,definitive,,,0.091,0.12
anthropic/claude-opus-4.7,T02-Q5,T02,para1,3,5,2,definitive,definitive,,,0.21,0.0
anthropic/claude-opus-4.7,T02-Q6,T02,para2,3,5,2,definitive,definitive,,,0.204,0.029
anthropic/claude-opus-4.7,T02-Q7,T02,para3,3,5,2,definitive,definitive,,,0.14,0.098
anthropic/claude-opus-4.7,T03-Q5,T03,para1,3,4,1,definitive,definitive,,,0.071,0.0
anthropic/claude-opus-4.7,T03-Q6,T03,para2,3,4,1,definitive,definitive,,,0.059,0.0
anthropic/claude-opus-4.7,T03-Q7,T03,para3,3,5,2,definitive,definitive,,,0.022,0.043
anthropic/claude-opus-4.7,T04-Q5,T04,para1,3,4,1,definitive,definitive,,,0.24,0.0
anthropic/claude-opus-4.7,T04-Q6,T04,para2,3,4,1,definitive,definitive,,,0.155,0.068
anthropic/claude-opus-4.7,T04-Q7,T04,para3,3,4,1,definitive,definitive,,,0.135,0.021
anthropic/claude-opus-4.7,T05-Q5,T05,para1,3,3,0,definitive,definitive,,,0.166,0.158
anthropic/claude-opus-4.7,T05-Q6,T05,para2,3,3,0,definitive,definitive,,,0.194,0.229
anthropic/claude-opus-4.7,T05-Q7,T05,para3,3,3,0,hedging,hedging,,,0.254,0.487
anthropic/claude-opus-4.7,T06-Q5,T06,para1,3,4,1,definitive,definitive,,,0.125,0.207
anthropic/claude-opus-4.7,T06-Q6,T06,para2,3,4,1,definitive,definitive,,,0.185,0.17
anthropic/claude-opus-4.7,T06-Q7,T06,para3,3,4,1,hedging,definitive,,,0.402,0.236
anthropic/claude-opus-4.7,T07-Q5,T07,para1,3,3,0,definitive,definitive,,,0.023,0.079
anthropic/claude-opus-4.7,T07-Q6,T07,para2,3,3,0,definitive,definitive,,,0.1,0.038
anthropic/claude-opus-4.7,T07-Q7,T07,para3,3,4,1,definitive,definitive,,,0.17,0.051
anthropic/claude-opus-4.7,T08-Q5,T08,para1,3,4,1,definitive,definitive,,,0.074,0.038
anthropic/claude-opus-4.7,T08-Q6,T08,para2,3,4,1,definitive,definitive,,,0.049,0.125
anthropic/claude-opus-4.7,T08-Q7,T08,para3,3,4,1,definitive,definitive,,,0.123,0.041
anthropic/claude-opus-4.7,T09-Q5,T09,para1,3,3,0,definitive,definitive,,,0.141,0.208
anthropic/claude-opus-4.7,T09-Q6,T09,para2,3,3,0,definitive,definitive,,,0.221,0.0
anthropic/claude-opus-4.7,T09-Q7,T09,para3,3,3,0,definitive,definitive,,,0.141,0.0
anthropic/claude-opus-4.7,T10-Q5,T10,para1,3,3,0,definitive,definitive,,,0.123,0.114
