model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T11-Q1,T11,ood,3,3,0,definitive,definitive,,,0.188,0.054
anthropic/claude-opus-4.7,T12-Q1,T12,ood,3,4,1,definitive,definitive,,,0.125,0.021
anthropic/claude-opus-4.7,T13-Q1,T13,ood,3,3,0,definitive,definitive,,,0.147,0.186
anthropic/claude-opus-4.7,T14-Q1,T14,ood,3,3,0,definitive,definitive,,,0.152,0.105
anthropic/claude-opus-4.7,T15-Q1,T15,ood,3,4,1,definitive,definitive,,,0.16,0.176
anthropic/claude-opus-4.7,T16-Q1,T16,ood,3,3,0,definitive,definitive,,,0.241,0.123
anthropic/claude-opus-4.7,T17-Q1,T17,ood,3,4,1,hedging,definitive,,,0.283,0.173
anthropic/claude-opus-4.7,T18-Q1,T18,ood,3,4,1,definitive,definitive,,,0.034,0.136
deepseek/deepseek-v3.2,T11-Q1,T11,ood,3,3,0,definitive,definitive,,,0.179,0.15
deepseek/deepseek-v3.2,T12-Q1,T12,ood,3,3,0,definitive,definitive,,,0.227,0.075
deepseek/deepseek-v3.2,T13-Q1,T13,ood,3,3,0,hedging,definitive,,,0.421,0.238
deepseek/deepseek-v3.2,T14-Q1,T14,ood,3,3,0,hedging,definitive,,,0.319,0.228
deepseek/deepseek-v3.2,T15-Q1,T15,ood,3,4,1,definitive,definitive,,,0.214,0.181
deepseek/deepseek-v3.2,T16-Q1,T16,ood,3,3,0,hedging,definitive,,,0.314,0.196
deepseek/deepseek-v3.2,T17-Q1,T17,ood,3,3,0,definitive,definitive,,,0.16,0.196
deepseek/deepseek-v3.2,T18-Q1,T18,ood,3,3,0,definitive,definitive,,,0.214,0.139
google/gemini-2.5-pro,T11-Q1,T11,ood,3,1,-2,hedging,definitive,,,0.593,0.0
google/gemini-2.5-pro,T12-Q1,T12,ood,3,3,0,hedging,definitive,,,0.48,0.0
google/gemini-2.5-pro,T13-Q1,T13,ood,1,3,2,hedging,definitive,,,0.636,0.0
google/gemini-2.5-pro,T14-Q1,T14,ood,1,3,2,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T15-Q1,T15,ood,3,3,0,definitive,hedging,,,0.0,0.481
google/gemini-2.5-pro,T16-Q1,T16,ood,3,3,0,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T17-Q1,T17,ood,1,3,2,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T18-Q1,T18,ood,2,3,1,hedging,hedging,,,0.792,0.522
google/gemma-2-27b-it,T11-Q1,T11,ood,3,3,0,hedging,hedging,,,0.401,0.503
