model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T01-Q2,T01,neutral,3,4,1,definitive,definitive,,,0.076,0.056
anthropic/claude-opus-4.7,T02-Q2,T02,neutral,3,4,1,definitive,definitive,,,0.135,0.0
anthropic/claude-opus-4.7,T03-Q2,T03,neutral,3,4,1,definitive,definitive,,,0.052,0.03
anthropic/claude-opus-4.7,T04-Q2,T04,neutral,3,4,1,definitive,definitive,,,0.057,0.046
anthropic/claude-opus-4.7,T05-Q2,T05,neutral,3,3,0,definitive,definitive,,,0.099,0.215
anthropic/claude-opus-4.7,T06-Q2,T06,neutral,3,4,1,definitive,definitive,,,0.187,0.105
anthropic/claude-opus-4.7,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.174,0.178
anthropic/claude-opus-4.7,T08-Q2,T08,neutral,3,4,1,definitive,definitive,,,0.174,0.044
anthropic/claude-opus-4.7,T09-Q2,T09,neutral,3,3,0,definitive,definitive,,,0.048,0.055
anthropic/claude-opus-4.7,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.11,0.138
openai/gpt-5,T01-Q2,T01,neutral,3,2,-1,definitive,definitive,,,0.0,0.0
openai/gpt-5,T02-Q2,T02,neutral,1,1,0,definitive,definitive,,,0.0,0.0
openai/gpt-5,T03-Q2,T03,neutral,,1,,,definitive,,,0.0,0.0
openai/gpt-5,T04-Q2,T04,neutral,3,3,0,definitive,definitive,,,0.0,0.0
openai/gpt-5,T05-Q2,T05,neutral,2,2,0,definitive,definitive,,,0.0,0.0
openai/gpt-5,T06-Q2,T06,neutral,2,3,1,definitive,definitive,,,0.0,0.0
openai/gpt-5,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.0,0.0
openai/gpt-5,T08-Q2,T08,neutral,2,2,0,definitive,definitive,,,0.0,0.0
openai/gpt-5,T09-Q2,T09,neutral,3,3,0,definitive,definitive,,,0.0,0.0
openai/gpt-5,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.0,0.0
x-ai/grok-4.3,T01-Q2,T01,neutral,3,4,1,definitive,definitive,,,0.212,0.136
x-ai/grok-4.3,T02-Q2,T02,neutral,3,3,0,definitive,definitive,,,0.19,0.049
x-ai/grok-4.3,T03-Q2,T03,neutral,3,4,1,definitive,definitive,,,0.0,0.018
x-ai/grok-4.3,T04-Q2,T04,neutral,3,4,1,definitive,definitive,,,0.212,0.0
x-ai/grok-4.3,T05-Q2,T05,neutral,3,4,1,definitive,definitive,,,0.096,0.173
x-ai/grok-4.3,T06-Q2,T06,neutral,3,3,0,definitive,definitive,,,0.023,0.082
x-ai/grok-4.3,T07-Q2,T07,neutral,3,4,1,definitive,definitive,,,0.062,0.072
x-ai/grok-4.3,T08-Q2,T08,neutral,3,4,1,definitive,definitive,,,0.165,0.226
x-ai/grok-4.3,T09-Q2,T09,neutral,3,3,0,definitive,definitive,,,0.074,0.139
x-ai/grok-4.3,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.194,0.103
