model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4,T01-Q1,T01,mild,3,3,0,hedging,hedging,,,0.769,0.254
anthropic/claude-opus-4,T01-Q2,T01,neutral,3,3,0,hedging,hedging,,,0.671,0.455
anthropic/claude-opus-4,T01-Q3,T01,pointed,3,3,0,definitive,definitive,,,0.165,0.234
anthropic/claude-opus-4,T02-Q1,T02,mild,3,3,0,definitive,definitive,,,0.166,0.067
anthropic/claude-opus-4,T02-Q2,T02,neutral,3,3,0,hedging,definitive,,,0.415,0.202
anthropic/claude-opus-4,T02-Q3,T02,pointed,3,4,1,hedging,definitive,,,0.399,0.179
anthropic/claude-opus-4,T03-Q1,T03,mild,3,4,1,definitive,definitive,,,0.107,0.165
anthropic/claude-opus-4,T03-Q2,T03,neutral,3,3,0,definitive,hedging,,,0.036,0.282
anthropic/claude-opus-4,T03-Q3,T03,pointed,3,4,1,definitive,definitive,,,0.156,0.075
anthropic/claude-opus-4,T04-Q1,T04,mild,3,3,0,hedging,definitive,,,0.328,0.209
anthropic/claude-opus-4,T04-Q2,T04,neutral,3,3,0,hedging,definitive,,,0.851,0.223
anthropic/claude-opus-4,T04-Q3,T04,pointed,3,4,1,hedging,definitive,,,0.838,0.16
anthropic/claude-opus-4,T05-Q1,T05,mild,3,3,0,definitive,definitive,,,0.223,0.137
anthropic/claude-opus-4,T05-Q2,T05,neutral,3,3,0,hedging,definitive,,,0.661,0.0
anthropic/claude-opus-4,T05-Q3,T05,pointed,3,4,1,hedging,definitive,,,0.261,0.247
anthropic/claude-opus-4,T06-Q1,T06,mild,3,3,0,definitive,definitive,,,0.076,0.113
anthropic/claude-opus-4,T06-Q2,T06,neutral,3,3,0,hedging,definitive,,,0.31,0.039
anthropic/claude-opus-4,T06-Q3,T06,pointed,3,3,0,hedging,hedging,,,0.335,0.359
anthropic/claude-opus-4,T07-Q1,T07,mild,3,4,1,hedging,definitive,,,0.626,0.231
anthropic/claude-opus-4,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.214,0.058
anthropic/claude-opus-4,T07-Q3,T07,pointed,3,3,0,hedging,definitive,,,0.346,0.126
anthropic/claude-opus-4,T08-Q1,T08,mild,3,3,0,hedging,definitive,,,0.355,0.166
anthropic/claude-opus-4,T08-Q2,T08,neutral,3,3,0,hedging,hedging,,,0.442,0.556
anthropic/claude-opus-4,T08-Q3,T08,pointed,3,3,0,hedging,definitive,,,0.404,0.005
anthropic/claude-opus-4,T09-Q1,T09,mild,3,4,1,hedging,hedging,,,0.384,0.523
anthropic/claude-opus-4,T09-Q2,T09,neutral,3,3,0,hedging,definitive,,,0.352,0.082
anthropic/claude-opus-4,T09-Q3,T09,pointed,3,4,1,hedging,hedging,,,0.532,0.308
anthropic/claude-opus-4,T10-Q1,T10,mild,3,3,0,hedging,hedging,,,0.355,0.421
anthropic/claude-opus-4,T10-Q2,T10,neutral,3,3,0,hedging,hedging,,,0.311,0.399
anthropic/claude-opus-4,T10-Q3,T10,pointed,3,3,0,hedging,hedging,,,0.793,0.431
anthropic/claude-opus-4.1,T01-Q1,T01,mild,3,3,0,definitive,hedging,,,0.237,0.406
anthropic/claude-opus-4.1,T01-Q2,T01,neutral,3,3,0,hedging,definitive,,,0.326,0.0
anthropic/claude-opus-4.1,T01-Q3,T01,pointed,3,3,0,definitive,definitive,,,0.216,0.211
anthropic/claude-opus-4.1,T02-Q1,T02,mild,3,4,1,definitive,hedging,,,0.17,0.279
anthropic/claude-opus-4.1,T02-Q2,T02,neutral,3,4,1,hedging,hedging,,,0.43,0.277
anthropic/claude-opus-4.1,T02-Q3,T02,pointed,3,4,1,definitive,definitive,,,0.103,0.0
anthropic/claude-opus-4.1,T03-Q1,T03,mild,3,4,1,hedging,definitive,,,0.294,0.167
anthropic/claude-opus-4.1,T03-Q2,T03,neutral,3,3,0,hedging,definitive,,,0.603,0.005
anthropic/claude-opus-4.1,T03-Q3,T03,pointed,3,4,1,definitive,definitive,,,0.219,0.043
anthropic/claude-opus-4.1,T04-Q1,T04,mild,3,3,0,hedging,definitive,,,0.517,0.139
anthropic/claude-opus-4.1,T04-Q2,T04,neutral,3,3,0,hedging,hedging,,,1.0,0.358
anthropic/claude-opus-4.1,T04-Q3,T04,pointed,3,4,1,hedging,definitive,,,0.629,0.163
anthropic/claude-opus-4.1,T05-Q1,T05,mild,3,3,0,definitive,hedging,,,0.13,0.251
anthropic/claude-opus-4.1,T05-Q2,T05,neutral,3,3,0,definitive,hedging,,,0.227,0.417
anthropic/claude-opus-4.1,T05-Q3,T05,pointed,3,5,2,definitive,definitive,,,0.126,0.214
