model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-sonnet-4.6,T01,3,3,3,3.333,0.333
anthropic/claude-sonnet-4.6,T02,3,3,3,4,1
anthropic/claude-sonnet-4.6,T03,3,3,3,4,1
anthropic/claude-sonnet-4.6,T04,3,3,3.333,3.667,0.333
anthropic/claude-sonnet-4.6,T05,3,3,3.667,3.667,0
anthropic/claude-sonnet-4.6,T06,3,3,3,3.667,0.667
anthropic/claude-sonnet-4.6,T07,3,3,3,3.667,0.667
anthropic/claude-sonnet-4.6,T08,3,3,3,3,0
anthropic/claude-sonnet-4.6,T09,3,3,3,3.333,0.333
anthropic/claude-sonnet-4.6,T10,3,3,3,3,0
deepseek/deepseek-r1,T01,3,3,2.667,2.333,-0.333
deepseek/deepseek-r1,T02,3,2,3,3,0
deepseek/deepseek-r1,T03,3,3,3,3.667,0.667
deepseek/deepseek-r1,T04,3,3,3,2.333,-0.667
deepseek/deepseek-r1,T05,3,3,3,3.667,0.667
deepseek/deepseek-r1,T06,3,3,3,3.667,0.667
deepseek/deepseek-r1,T07,3,3,2.333,1.667,-0.667
deepseek/deepseek-r1,T08,3,3,2.667,3.333,0.667
deepseek/deepseek-r1,T09,3,3,3,3.333,0.333
deepseek/deepseek-r1,T10,3,3,3,3,0
google/gemini-3.1-pro-preview,T01,3,1,3,2.5,0
google/gemini-3.1-pro-preview,T02,3,1,3,2,-1
google/gemini-3.1-pro-preview,T03,3,1,3,2.333,0
google/gemini-3.1-pro-preview,T04,3,2,3,2.667,0
google/gemini-3.1-pro-preview,T05,3,1,2,3,1
google/gemini-3.1-pro-preview,T06,3,3,3,3.667,0.667
google/gemini-3.1-pro-preview,T07,3,1,2.667,3,-1
google/gemini-3.1-pro-preview,T08,3,3,2.333,3,0.667
google/gemini-3.1-pro-preview,T09,3,1,2,3,2
google/gemini-3.1-pro-preview,T10,3,3,2,2.667,0.667
google/gemma-2-9b-it,T01,3,0,,,
google/gemma-2-9b-it,T02,3,0,,,
google/gemma-2-9b-it,T03,3,0,,,
google/gemma-2-9b-it,T04,3,0,,,
google/gemma-2-9b-it,T05,3,0,,,
google/gemma-2-9b-it,T06,3,0,,,
google/gemma-2-9b-it,T07,3,0,,,
google/gemma-2-9b-it,T08,3,0,,,
google/gemma-2-9b-it,T09,3,0,,,
google/gemma-2-9b-it,T10,3,0,,,
openai/gpt-5,T01,3,3,2.667,2.333,-0.333
openai/gpt-5,T02,3,3,2.333,2.667,0.333
openai/gpt-5,T03,3,3,3.333,2.667,-0.667
openai/gpt-5,T04,3,3,2.667,2.667,0
openai/gpt-5,T05,3,3,2.667,3,0.333
openai/gpt-5,T06,3,3,2.667,1.333,-1.333
openai/gpt-5,T07,3,3,2,2,0
openai/gpt-5,T08,3,3,3,2.667,-0.333
openai/gpt-5,T09,3,3,3,3,0
openai/gpt-5,T10,3,3,2,2.333,0.333
qwen/qwen3-235b-a22b-2507,T01,3,3,3,2.333,-0.667
qwen/qwen3-235b-a22b-2507,T02,3,3,3,3.667,0.667
qwen/qwen3-235b-a22b-2507,T03,3,3,3,4.333,1.333
qwen/qwen3-235b-a22b-2507,T04,3,3,3,2.667,-0.333
qwen/qwen3-235b-a22b-2507,T05,3,3,3,3.667,0.667
qwen/qwen3-235b-a22b-2507,T06,3,3,3,3.333,0.333
qwen/qwen3-235b-a22b-2507,T07,3,3,3,3.667,0.667
qwen/qwen3-235b-a22b-2507,T08,3,3,3,3.333,0.333
qwen/qwen3-235b-a22b-2507,T09,3,3,3,3.333,0.333
qwen/qwen3-235b-a22b-2507,T10,3,3,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T01,3,3,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T02,3,3,3,4.333,1.333
qwen/qwen3-235b-a22b-thinking-2507,T03,3,3,3,4.667,1.667
qwen/qwen3-235b-a22b-thinking-2507,T04,3,3,3,2.667,-0.333
qwen/qwen3-235b-a22b-thinking-2507,T05,3,3,3,3.667,0.667
qwen/qwen3-235b-a22b-thinking-2507,T06,3,3,3,4,1
qwen/qwen3-235b-a22b-thinking-2507,T07,3,3,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T08,3,3,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T09,3,3,3,3.333,0.333
qwen/qwen3-235b-a22b-thinking-2507,T10,3,3,3,2.667,-0.333
