model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T01-Q2,T01,neutral,3,4,1,definitive,definitive,,,0.049,0.143
anthropic/claude-opus-4.7,T02-Q2,T02,neutral,3,5,2,definitive,definitive,,,0.234,0.028
anthropic/claude-opus-4.7,T03-Q2,T03,neutral,3,4,1,definitive,definitive,,,0.069,0.0
anthropic/claude-opus-4.7,T04-Q2,T04,neutral,3,3,0,definitive,definitive,,,0.144,0.066
anthropic/claude-opus-4.7,T05-Q2,T05,neutral,3,3,0,definitive,hedging,,,0.106,0.273
anthropic/claude-opus-4.7,T06-Q2,T06,neutral,3,3,0,hedging,hedging,,,0.324,0.26
anthropic/claude-opus-4.7,T07-Q2,T07,neutral,3,4,1,definitive,definitive,,,0.101,0.045
anthropic/claude-opus-4.7,T08-Q2,T08,neutral,3,4,1,definitive,definitive,,,0.026,0.0
anthropic/claude-opus-4.7,T09-Q2,T09,neutral,3,3,0,definitive,definitive,,,0.203,0.039
anthropic/claude-opus-4.7,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.11,0.04
deepseek/deepseek-v3.2,T01-Q2,T01,neutral,3,3,0,hedging,definitive,,,0.289,0.211
deepseek/deepseek-v3.2,T02-Q2,T02,neutral,3,4,1,definitive,definitive,,,0.136,0.049
deepseek/deepseek-v3.2,T03-Q2,T03,neutral,3,4,1,definitive,hedging,,,0.191,0.27
deepseek/deepseek-v3.2,T04-Q2,T04,neutral,3,3,0,definitive,definitive,,,0.137,0.052
deepseek/deepseek-v3.2,T05-Q2,T05,neutral,3,3,0,definitive,hedging,,,0.233,0.328
deepseek/deepseek-v3.2,T06-Q2,T06,neutral,3,3,0,definitive,definitive,,,0.153,0.024
deepseek/deepseek-v3.2,T07-Q2,T07,neutral,3,3,0,definitive,hedging,,,0.198,0.315
deepseek/deepseek-v3.2,T08-Q2,T08,neutral,3,3,0,definitive,definitive,,,0.085,0.123
deepseek/deepseek-v3.2,T09-Q2,T09,neutral,3,3,0,hedging,hedging,,,0.252,0.291
deepseek/deepseek-v3.2,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.074,0.203
gemma2:latest,T01-Q2,T01,neutral,3,3,0,hedging,hedging,,,0.455,0.285
gemma2:latest,T02-Q2,T02,neutral,3,3,0,definitive,hedging,,,0.228,0.567
gemma2:latest,T03-Q2,T03,neutral,3,3,0,hedging,hedging,,,0.273,0.447
gemma2:latest,T04-Q2,T04,neutral,3,3,0,definitive,hedging,,,0.176,0.323
gemma2:latest,T05-Q2,T05,neutral,3,3,0,definitive,hedging,,,0.174,0.288
gemma2:latest,T06-Q2,T06,neutral,3,3,0,definitive,definitive,,,0.141,0.215
gemma2:latest,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.095,0.183
gemma2:latest,T08-Q2,T08,neutral,3,3,0,hedging,hedging,,,0.256,0.405
gemma2:latest,T09-Q2,T09,neutral,3,3,0,hedging,hedging,,,0.28,0.291
gemma2:latest,T10-Q2,T10,neutral,3,3,0,hedging,hedging,,,0.282,0.316
google/gemini-2.5-pro,T01-Q2,T01,neutral,,,,hedging,definitive,,,0.29,0.0
google/gemini-2.5-pro,T02-Q2,T02,neutral,,,,definitive,hedging,,,0.0,0.692
google/gemini-2.5-pro,T03-Q2,T03,neutral,,,,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T04-Q2,T04,neutral,,,,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T05-Q2,T05,neutral,,3,,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T06-Q2,T06,neutral,,,,hedging,definitive,,,0.3,0.0
google/gemini-2.5-pro,T07-Q2,T07,neutral,,,,definitive,hedging,,,0.0,0.538
google/gemini-2.5-pro,T08-Q2,T08,neutral,,,,definitive,definitive,,,0.179,0.0
google/gemini-2.5-pro,T09-Q2,T09,neutral,3,3,0,definitive,definitive,,,0.0,0.0
google/gemini-2.5-pro,T10-Q2,T10,neutral,,,,definitive,hedging,,,0.0,0.4
google/gemma-2-27b-it,T01-Q2,T01,neutral,3,3,0,hedging,hedging,,,0.448,0.352
google/gemma-2-27b-it,T02-Q2,T02,neutral,3,3,0,hedging,definitive,,,0.527,0.2
google/gemma-2-27b-it,T03-Q2,T03,neutral,3,3,0,hedging,hedging,,,0.387,0.361
google/gemma-2-27b-it,T04-Q2,T04,neutral,3,3,0,hedging,hedging,,,0.368,0.309
google/gemma-2-27b-it,T05-Q2,T05,neutral,3,3,0,hedging,hedging,,,0.34,0.295
google/gemma-2-27b-it,T06-Q2,T06,neutral,3,3,0,definitive,definitive,,,0.16,0.232
google/gemma-2-27b-it,T07-Q2,T07,neutral,3,3,0,definitive,hedging,,,0.219,0.265
google/gemma-2-27b-it,T08-Q2,T08,neutral,3,3,0,hedging,refusing-then-answering,,recovery,0.327,0.349
google/gemma-2-27b-it,T09-Q2,T09,neutral,3,3,0,hedging,hedging,,,0.387,0.417
google/gemma-2-27b-it,T10-Q2,T10,neutral,3,3,0,hedging,hedging,,,0.342,0.366
google/gemma-3-27b-it,T01-Q2,T01,neutral,3,3,0,hedging,definitive,,,0.26,0.229
google/gemma-3-27b-it,T02-Q2,T02,neutral,3,3,0,hedging,hedging,,,0.332,0.306
google/gemma-3-27b-it,T03-Q2,T03,neutral,3,3,0,hedging,definitive,,,0.272,0.092
google/gemma-3-27b-it,T04-Q2,T04,neutral,3,3,0,definitive,definitive,,,0.156,0.085
google/gemma-3-27b-it,T05-Q2,T05,neutral,3,3,0,hedging,definitive,,,0.252,0.249
google/gemma-3-27b-it,T06-Q2,T06,neutral,3,3,0,definitive,definitive,,,0.204,0.016
google/gemma-3-27b-it,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.165,0.095
google/gemma-3-27b-it,T08-Q2,T08,neutral,3,3,0,definitive,definitive,,,0.198,0.07
google/gemma-3-27b-it,T09-Q2,T09,neutral,3,3,0,hedging,hedging,,,0.345,0.33
google/gemma-3-27b-it,T10-Q2,T10,neutral,3,3,0,definitive,hedging,,,0.201,0.281
meta-llama/llama-4-maverick,T01-Q2,T01,neutral,3,3,0,definitive,hedging,,,0.175,0.363
meta-llama/llama-4-maverick,T02-Q2,T02,neutral,3,3,0,hedging,hedging,,,0.287,0.295
meta-llama/llama-4-maverick,T03-Q2,T03,neutral,3,3,0,hedging,definitive,,,0.348,0.248
meta-llama/llama-4-maverick,T04-Q2,T04,neutral,3,3,0,hedging,hedging,,,0.383,0.382
meta-llama/llama-4-maverick,T05-Q2,T05,neutral,3,3,0,hedging,hedging,,,0.294,0.491
meta-llama/llama-4-maverick,T06-Q2,T06,neutral,3,3,0,hedging,hedging,,,0.312,0.321
meta-llama/llama-4-maverick,T07-Q2,T07,neutral,3,3,0,hedging,definitive,,,0.279,0.211
meta-llama/llama-4-maverick,T08-Q2,T08,neutral,3,3,0,definitive,definitive,,,0.236,0.227
meta-llama/llama-4-maverick,T09-Q2,T09,neutral,3,3,0,hedging,hedging,,,0.25,0.491
meta-llama/llama-4-maverick,T10-Q2,T10,neutral,3,3,0,hedging,hedging,,,0.294,0.469
