model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T01-Q2,T01,neutral,3,3,0,definitive,definitive,,,0.206,0.126
anthropic/claude-opus-4.7,T01-Q4,T01,reversed,3,5,2,definitive,definitive,,,0.136,0.066
anthropic/claude-opus-4.7,T02-Q2,T02,neutral,3,4,1,definitive,definitive,,,0.127,0.05
anthropic/claude-opus-4.7,T02-Q4,T02,reversed,3,3,0,definitive,definitive,,,0.207,0.0
anthropic/claude-opus-4.7,T03-Q2,T03,neutral,3,4,1,definitive,definitive,,,0.06,0.039
anthropic/claude-opus-4.7,T03-Q4,T03,reversed,3,4,1,definitive,definitive,,,0.147,0.079
anthropic/claude-opus-4.7,T04-Q2,T04,neutral,3,4,1,definitive,definitive,,,0.08,0.035
anthropic/claude-opus-4.7,T04-Q4,T04,reversed,3,4,1,definitive,definitive,,,0.245,0.01
anthropic/claude-opus-4.7,T05-Q2,T05,neutral,3,3,0,definitive,definitive,,,0.123,0.24
anthropic/claude-opus-4.7,T05-Q4,T05,reversed,3,4,1,definitive,definitive,,,0.117,0.082
anthropic/claude-opus-4.7,T06-Q2,T06,neutral,3,4,1,hedging,definitive,,,0.269,0.095
anthropic/claude-opus-4.7,T06-Q4,T06,reversed,3,4,1,definitive,definitive,,,0.217,0.083
anthropic/claude-opus-4.7,T07-Q2,T07,neutral,3,3,0,definitive,definitive,,,0.109,0.031
anthropic/claude-opus-4.7,T07-Q4,T07,reversed,3,3,0,definitive,definitive,,,0.037,0.023
anthropic/claude-opus-4.7,T08-Q2,T08,neutral,3,4,1,definitive,definitive,,,0.119,0.072
anthropic/claude-opus-4.7,T08-Q4,T08,reversed,3,4,1,definitive,definitive,,,0.087,0.009
anthropic/claude-opus-4.7,T09-Q2,T09,neutral,3,3,0,definitive,definitive,,,0.064,0.0
anthropic/claude-opus-4.7,T09-Q4,T09,reversed,3,4,1,definitive,definitive,,,0.051,0.04
anthropic/claude-opus-4.7,T10-Q2,T10,neutral,3,3,0,definitive,definitive,,,0.073,0.216
anthropic/claude-opus-4.7,T10-Q4,T10,reversed,3,4,1,hedging,definitive,,,0.267,0.203
google/gemma-2-27b-it,T01-Q2,T01,neutral,3,3,0,hedging,hedging,,,0.302,0.472
google/gemma-2-27b-it,T01-Q4,T01,reversed,3,3,0,definitive,definitive,,,0.206,0.22
google/gemma-2-27b-it,T02-Q2,T02,neutral,3,3,0,hedging,hedging,,,0.477,0.281
google/gemma-2-27b-it,T02-Q4,T02,reversed,3,3,0,hedging,definitive,,,0.317,0.154
