model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
deepseek-r1-distill-7b-abliterated,T01,1,1,3,3,0
deepseek-r1-distill-7b-abliterated,T02,1,1,3,3,0
deepseek-r1-distill-7b-abliterated,T03,1,1,3,4,1
deepseek-r1-distill-7b-abliterated,T04,1,1,3,3,0
deepseek-r1-distill-7b-abliterated,T05,1,0,3,,
deepseek-r1-distill-7b-abliterated,T06,1,1,3,3,0
deepseek-r1-distill-7b-abliterated,T07,1,0,3,,
deepseek-r1-distill-7b-abliterated,T08,1,1,3,1,-2
deepseek-r1-distill-7b-abliterated,T09,1,0,3,,
deepseek-r1-distill-7b-abliterated,T10,1,1,3,3,0
deepseek-r1-distill-7b-stock,T01,1,1,3,3,0
deepseek-r1-distill-7b-stock,T02,1,1,3,3,0
deepseek-r1-distill-7b-stock,T03,1,1,3,3,0
deepseek-r1-distill-7b-stock,T04,1,1,3,3,0
deepseek-r1-distill-7b-stock,T05,1,1,3,3,0
deepseek-r1-distill-7b-stock,T06,1,1,3,3,0
deepseek-r1-distill-7b-stock,T07,1,1,2,1,-1
deepseek-r1-distill-7b-stock,T08,1,1,3,3,0
deepseek-r1-distill-7b-stock,T09,1,1,3,3,0
deepseek-r1-distill-7b-stock,T10,1,1,3,3,0
llama-3.1-8b-abliterated,T01,1,1,3,3,0
llama-3.1-8b-abliterated,T02,1,1,3,3,0
llama-3.1-8b-abliterated,T03,1,1,3,3,0
llama-3.1-8b-abliterated,T04,1,1,3,3,0
llama-3.1-8b-abliterated,T05,1,1,3,3,0
llama-3.1-8b-abliterated,T06,1,1,3,3,0
llama-3.1-8b-abliterated,T07,1,1,3,3,0
llama-3.1-8b-abliterated,T08,1,1,3,3,0
llama-3.1-8b-abliterated,T09,1,1,3,3,0
llama-3.1-8b-abliterated,T10,1,1,3,3,0
llama-3.1-8b-stock,T01,1,1,3,3,0
llama-3.1-8b-stock,T02,1,1,3,3,0
llama-3.1-8b-stock,T03,1,1,3,3,0
llama-3.1-8b-stock,T04,1,1,3,3,0
llama-3.1-8b-stock,T05,1,1,3,3,0
llama-3.1-8b-stock,T06,1,1,3,3,0
llama-3.1-8b-stock,T07,1,1,3,3,0
llama-3.1-8b-stock,T08,1,1,3,3,0
llama-3.1-8b-stock,T09,1,1,3,3,0
llama-3.1-8b-stock,T10,1,1,3,3,0
mistral-7b-abliterated,T01,1,1,3,3,0
mistral-7b-abliterated,T02,1,1,3,3,0
mistral-7b-abliterated,T03,1,1,3,3,0
mistral-7b-abliterated,T04,1,1,2,2,0
mistral-7b-abliterated,T05,1,1,3,3,0
mistral-7b-abliterated,T06,1,1,3,3,0
mistral-7b-abliterated,T07,1,1,3,2,-1
mistral-7b-abliterated,T08,1,1,3,3,0
mistral-7b-abliterated,T09,1,1,3,3,0
mistral-7b-abliterated,T10,1,1,3,3,0
mistral-7b-stock,T01,1,1,3,3,0
mistral-7b-stock,T02,1,1,3,3,0
mistral-7b-stock,T03,1,1,3,3,0
mistral-7b-stock,T04,1,1,3,3,0
mistral-7b-stock,T05,1,1,3,3,0
mistral-7b-stock,T06,1,1,3,3,0
mistral-7b-stock,T07,1,1,3,2,-1
mistral-7b-stock,T08,1,1,3,3,0
mistral-7b-stock,T09,1,1,3,3,0
mistral-7b-stock,T10,1,1,3,3,0
qwen2.5-7b-abliterated,T01,1,1,3,3,0
qwen2.5-7b-abliterated,T02,1,1,3,3,0
qwen2.5-7b-abliterated,T03,1,1,3,3,0
qwen2.5-7b-abliterated,T04,1,1,3,3,0
qwen2.5-7b-abliterated,T05,1,1,3,3,0
qwen2.5-7b-abliterated,T06,1,1,3,3,0
qwen2.5-7b-abliterated,T07,1,1,3,3,0
qwen2.5-7b-abliterated,T08,1,1,3,3,0
qwen2.5-7b-abliterated,T09,1,1,3,3,0
qwen2.5-7b-abliterated,T10,1,1,3,3,0
qwen2.5-7b-stock,T01,1,1,3,3,0
qwen2.5-7b-stock,T02,1,1,3,3,0
qwen2.5-7b-stock,T03,1,1,3,3,0
qwen2.5-7b-stock,T04,1,1,3,3,0
qwen2.5-7b-stock,T05,1,1,3,3,0
qwen2.5-7b-stock,T06,1,1,3,3,0
qwen2.5-7b-stock,T07,1,1,3,3,0
qwen2.5-7b-stock,T08,1,1,3,3,0
qwen2.5-7b-stock,T09,1,1,3,3,0
qwen2.5-7b-stock,T10,1,1,3,2,-1
