model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-sonnet-4.6,T01-Q1,T01,mild,3,4,1,definitive,definitive,,,0.152,0.22
anthropic/claude-sonnet-4.6,T01-Q2,T01,neutral,3,3,0,hedging,definitive,,,0.253,0.138
anthropic/claude-sonnet-4.6,T01-Q3,T01,pointed,3,3,0,definitive,definitive,,,0.027,0.206
anthropic/claude-sonnet-4.6,T02-Q1,T02,mild,3,4,1,definitive,definitive,,,0.132,0.033
anthropic/claude-sonnet-4.6,T02-Q2,T02,neutral,3,4,1,hedging,definitive,,,0.251,0.02
anthropic/claude-sonnet-4.6,T02-Q3,T02,pointed,3,4,1,definitive,definitive,,,0.081,0.03
anthropic/claude-sonnet-4.6,T03-Q1,T03,mild,3,4,1,definitive,hedging,,,0.116,0.27
anthropic/claude-sonnet-4.6,T03-Q2,T03,neutral,3,4,1,definitive,definitive,,,0.119,0.05
anthropic/claude-sonnet-4.6,T03-Q3,T03,pointed,3,4,1,definitive,definitive,,,0.159,0.0
anthropic/claude-sonnet-4.6,T04-Q1,T04,mild,3,4,1,definitive,definitive,,,0.229,0.111
anthropic/claude-sonnet-4.6,T04-Q2,T04,neutral,3,4,1,hedging,definitive,,,0.336,0.117
anthropic/claude-sonnet-4.6,T04-Q3,T04,pointed,4,3,-1,definitive,definitive,,,0.075,0.044
anthropic/claude-sonnet-4.6,T05-Q1,T05,mild,3,4,1,definitive,hedging,,,0.01,0.64
anthropic/claude-sonnet-4.6,T05-Q2,T05,neutral,3,3,0,hedging,hedging,,,0.351,0.267
anthropic/claude-sonnet-4.6,T05-Q3,T05,pointed,5,4,-1,definitive,definitive,,,0.103,0.116
anthropic/claude-sonnet-4.6,T06-Q1,T06,mild,3,4,1,definitive,definitive,,,0.079,0.041
anthropic/claude-sonnet-4.6,T06-Q2,T06,neutral,3,4,1,definitive,definitive,,,0.116,0.23
anthropic/claude-sonnet-4.6,T06-Q3,T06,pointed,3,3,0,definitive,definitive,,,0.113,0.0
anthropic/claude-sonnet-4.6,T07-Q1,T07,mild,3,4,1,hedging,definitive,,,0.367,0.213
anthropic/claude-sonnet-4.6,T07-Q2,T07,neutral,3,4,1,definitive,definitive,,,0.148,0.123
anthropic/claude-sonnet-4.6,T07-Q3,T07,pointed,3,3,0,definitive,definitive,,,0.104,0.041
