model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4,T01-Q2,T01,neutral,3.0,3.0,0.0,hedging,hedging,,,0.525,0.453
anthropic/claude-opus-4,T02-Q2,T02,neutral,3.0,3.2,0.20000000000000018,hedging,hedging,,,0.299,0.491
anthropic/claude-opus-4,T03-Q2,T03,neutral,3.0,3.0,0.0,hedging,hedging,,,0.252,0.318
anthropic/claude-opus-4,T04-Q2,T04,neutral,3.0,3.0,0.0,hedging,definitive,,,0.699,0.177
anthropic/claude-opus-4,T05-Q2,T05,neutral,3.0,3.0,0.0,hedging,hedging,,,0.392,0.398
anthropic/claude-opus-4,T06-Q2,T06,neutral,3.0,3.0,0.0,definitive,definitive,,,0.05,0.217
anthropic/claude-opus-4,T07-Q2,T07,neutral,3.0,3.0,0.0,definitive,definitive,,,0.152,0.17
anthropic/claude-opus-4,T08-Q2,T08,neutral,3.0,3.0,0.0,definitive,hedging,,,0.232,0.474
anthropic/claude-opus-4,T09-Q2,T09,neutral,3.0,3.0,0.0,definitive,definitive,,,0.23,0.193
anthropic/claude-opus-4,T10-Q2,T10,neutral,3.0,3.0,0.0,hedging,hedging,,,0.322,0.472
anthropic/claude-opus-4.1,T01-Q2,T01,neutral,3.0,3.0,0.0,hedging,definitive,,,0.375,0.116
anthropic/claude-opus-4.1,T02-Q2,T02,neutral,3.0,3.8,0.7999999999999998,hedging,hedging,,,0.623,0.602
anthropic/claude-opus-4.1,T03-Q2,T03,neutral,3.0,3.0,0.0,hedging,definitive,,,0.512,0.143
anthropic/claude-opus-4.1,T04-Q2,T04,neutral,3.0,3.2,0.20000000000000018,hedging,definitive,,,0.496,0.243
anthropic/claude-opus-4.1,T05-Q2,T05,neutral,3.0,3.0,0.0,definitive,definitive,,,0.217,0.131
anthropic/claude-opus-4.1,T06-Q2,T06,neutral,3.0,3.0,0.0,definitive,hedging,,,0.0,0.265
anthropic/claude-opus-4.1,T07-Q2,T07,neutral,3.0,3.0,0.0,definitive,definitive,,,0.134,0.137
anthropic/claude-opus-4.1,T08-Q2,T08,neutral,3.0,3.0,0.0,hedging,definitive,,,0.319,0.118
anthropic/claude-opus-4.1,T09-Q2,T09,neutral,3.0,3.0,0.0,definitive,hedging,,,0.147,0.381
anthropic/claude-opus-4.1,T10-Q2,T10,neutral,3.0,3.0,0.0,definitive,definitive,,,0.207,0.204
anthropic/claude-opus-4.5,T01-Q2,T01,neutral,3.0,3.0,0.0,definitive,definitive,,,0.186,0.073
anthropic/claude-opus-4.5,T02-Q2,T02,neutral,3.0,3.4,0.3999999999999999,hedging,hedging,,,0.496,0.516
anthropic/claude-opus-4.5,T03-Q2,T03,neutral,3.0,3.4,0.3999999999999999,definitive,definitive,,,0.219,0.18
anthropic/claude-opus-4.5,T04-Q2,T04,neutral,3.0,3.2,0.20000000000000018,hedging,definitive,,,0.346,0.0
anthropic/claude-opus-4.5,T05-Q2,T05,neutral,3.0,3.0,0.0,hedging,definitive,,,0.347,0.187
anthropic/claude-opus-4.5,T06-Q2,T06,neutral,3.0,3.4,0.3999999999999999,hedging,definitive,,,0.442,0.0
anthropic/claude-opus-4.5,T07-Q2,T07,neutral,3.0,3.0,0.0,definitive,definitive,,,0.221,0.163
